# Funciones para los movimientos
# Formato: CLAVE;Movimiento referencia1,Mov.ref.2,ect;Descripción
000;;Sin efecto
001;Salpicadura;No hace nada en absoluto
002;Combate;Otra definición del movimiento Combate (cuando el Pokémon se queda sin PPs)
003;;Duerme al objetivo
004;Bostezo;Adormece al objetivo, que se duerme al final de la siguiente ronda
005;;Envenena al objetivo
006;Tóxico;Envenena gravemente al objetivo
007;Onda Trueno, At. Fulgor;Paraliza al objetivo
008;Tueno;Paraliza al objetivo. Precisión 100% en lluvia, 50% en día soleado
009;Colm. Rayo;Paraliza al objetivo y puede hacerlo retroceder
00A;;Quema al objetivo 
00B;Colm. Íngeo;Quema al objetivo y puede hacerlo retroceder
00C;;Conjela al objetivo
00D;Ventisca;Conjela al objetivo. Precisión 100% durante el granizo
00E;Colm. Hielo;Conjela al objetivo y puede hacerlo retroceder
00F;;Hace retroceder al objetivo
010;;Hace retroceder al objetivo. Precisión 100% si el objetivo ha usado Reducción
011;Ronquido;Hace retroceder al objetivo. Falla su el usuario no está dormido
012;Sorpresa;Hace retroceder al objetivo. Falla si no se usa en el primer turno
013;Rayo confuso;Confunde al objetivo
014;Cháchara;Confunde al objetivo. Aumenta % de confundir si se ha grabado una canción
015;Vendaval;Confunde al objetivo. Precisión 100% en lluvia, 50% en día soleado
016;Atracción;Enamora al objetivo
017;Triataque;Quema, congela o paraliza al objetivo
018;Alivio;Cura al usuario la quemadura, envenenamiento o parálisis
019;Aromaterapia, Campana Cura;Cura los problemas de estado a todos los Pokémon del equipo
01A;Velo Sagrado;Protege al equipo del usuario de problemas de estado
01B;Psico-cambio;El usuario pasa su problema de estado al objetivo
01C;;Incrementa el Ataque del usuario en 1 nivel
01D;;Incrementa la Defensa del usuario en 1 nivel
01E;Rizo Defensa;Incrementa la Defensa del usuario en 1 nivel. El usuario se acurruca
01F;;Incrementa la Velocidad del usuario en 1 nivel
020;;Incrementa el Ataque Especial del usuario en 1 nivel
021;Carga;Incrementa la Defensa Especial del usuario en 1 nivel y potencia su siguiente ataque de tipo Eléctrico
022;;Incrementa la Evasión del usuario en 1 nivel
023;Foco Energía;Incrementa la probabilidad de golpe crítico del usuario
024;Corpulencia;Incrementa el Ataque y la Defensa del usuario en 1 nivel cada una
025;Enrosque;Incrementa el Ataque, la Defensa y la precisión del usuario en 1 nivel cada una
026;Danza Dragón;Incrementa el Ataque y la Velocidad del usuario en 1 nivel cada una
027;Avivar;Incrementa el Ataque y el Ataque Especial del usuario en 1 nivel cada una
028;Desarrollo;Incrementa el Ataque y el Ataque Especial del usuario en 1 nivel cada una. Con clima es Soleado, el incremento es de 2 niveles
